Dates,AAPL US Equity,META US Equity,MSFT US Equity
3/9/2022,0.034997,0.043145,0.045858
3/10/2022,-0.027186,-0.016574,-0.010087
3/11/2022,-0.023909,-0.038932,-0.019328
3/14/2022,-0.026562,-0.005224,-0.012961
3/15/2022,0.029677,0.028934,0.038743
3/16/2022,0.029015,0.060407,0.025213
3/17/2022,0.006454,0.020675,0.002819
3/18/2022,0.020919,0.041619,0.017648
3/21/2022,0.008538,-0.023096,-0.004227
3/22/2022,0.020801,0.024398,0.016379
3/23/2022,0.008234,-0.014724,-0.01503
3/24/2022,0.022678,0.028624,0.015393
3/25/2022,0.003734,0.010247,-0.001381
3/28/2022,0.005037,0.007979,0.023116
3/29/2022,0.019134,0.028042,0.015159
3/30/2022,-0.00665,-0.008744,-0.004914
3/31/2022,-0.017776,-0.024095,-0.017683
4/1/2022,-0.001718,0.011198,0.0036
4/4/2022,0.023693,0.040205,0.017937
4/5/2022,-0.018942,-0.008765,-0.012985
4/6/2022,-0.018451,-0.036836,-0.036606
4/7/2022,0.001804,-0.001567,0.006244
4/8/2022,-0.011909,-0.002781,-0.0146
4/11/2022,-0.025516,-0.026402,-0.039432
4/12/2022,0.011523,-0.010718,-0.011218
4/13/2022,0.016343,0.003969,0.019712
4/14/2022,-0.029988,-0.022373,-0.027084
4/15/2022,-0.029988,-0.022373,-0.027084
4/18/2022,-0.001331,0.002807,0.002466
4/19/2022,0.014115,0.031029,0.01704
4/20/2022,-0.001016,-0.077723,0.003715
4/21/2022,-0.004844,-0.061621,-0.019381
4/22/2022,-0.027821,-0.021056,-0.024144
4/25/2022,0.006737,0.015643,0.024413
4/26/2022,-0.037328,-0.032301,-0.037404
4/27/2022,-0.001467,-0.033158,0.048109
4/28/2022,0.045156,0.175936,0.022633
4/29/2022,-0.036605,-0.025567,-0.041812
5/2/2022,0.001966,0.053175,0.025043
5/3/2022,0.009623,0.004263,-0.009456
5/4/2022,0.041008,0.053672,0.029101
5/5/2022,-0.055716,-0.067723,-0.043555
5/6/2022,0.003253,-0.021654,-0.009447
5/9/2022,-0.033189,-0.037101,-0.036945
5/10/2022,0.016112,0.007339,0.018596
5/11/2022,-0.051841,-0.04508,-0.03321
5/12/2022,-0.026894,0.013246,-0.019958
5/13/2022,0.031916,0.03859,0.022596
5/16/2022,-0.010672,0.007149,0.001455
5/17/2022,0.025423,0.012897,0.020344
5/18/2022,-0.056419,-0.051229,-0.047748
5/19/2022,-0.024641,-0.004942,-0.0037
5/20/2022,0.001747,0.011762,-0.002291
5/23/2022,0.040119,0.013899,0.032032
5/24/2022,-0.019216,-0.076186,-0.003952
5/25/2022,0.00114,0.014067,0.01117
5/26/2022,0.0232,0.042431,0.012875
5/27/2022,0.040757,0.018264,0.027604
5/30/2022,0.040757,0.018264,0.027604
5/31/2022,-0.005346,-0.007636,-0.005014
6/1/2022,-0.000873,-0.025821,0.002023
6/2/2022,0.016811,0.054177,0.007929
6/3/2022,-0.038556,-0.040632,-0.016607
6/6/2022,0.005228,0.018188,-0.004703
6/7/2022,0.017586,0.007207,0.013953
6/8/2022,-0.005043,0.00506,-0.00767
6/9/2022,-0.035956,-0.06428,-0.020783
6/10/2022,-0.038629,-0.045815,-0.044564
6/13/2022,-0.038285,-0.064419,-0.042413
6/14/2022,0.006673,-0.003227,0.009205
6/15/2022,0.020111,0.034325,0.029735
6/16/2022,-0.039651,-0.050074,-0.02697
6/17/2022,0.011533,0.01784,0.01094
6/20/2022,0.011533,0.01784,0.01094
6/21/2022,0.032761,-0.040857,0.024591
6/22/2022,-0.003827,-0.007641,-0.002404
6/23/2022,0.021574,0.018608,0.022637
6/24/2022,0.024517,0.071874,0.03415
6/27/2022,0,-0.003937,-0.010497
6/28/2022,-0.02979,-0.051979,-0.031749
6/29/2022,0.013024,0.020289,0.014738
6/30/2022,-0.018028,-0.016408,-0.013179
7/1/2022,0.016164,-0.007566,0.010707
7/4/2022,0.016164,-0.007566,0.010707
7/5/2022,0.01893,0.05099,0.012597
7/6/2022,0.009607,0.009394,0.012783
7/7/2022,0.023999,0.014255,0.008227
7/8/2022,0.004715,-0.007608,-0.002757
7/11/2022,-0.014758,-0.046816,-0.011769
7/12/2022,0.006834,0.002394,-0.040981
7/13/2022,-0.002537,0.001347,-0.003745
